행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
항동,10,31.0,32.26,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0
가산동,150,761.0,19.71,0,4,11,1,4,25,15,5,8,4,7,3,1,2,4,15,1,2,0,6,16,1,10,5,0,0
강일동,15,84.0,17.86,0,0,0,0,0,2,3,0,0,0,1,0,0,2,0,4,0,0,0,1,0,0,2,0,0,0
남가좌1동,16,100.0,16.0,0,1,0,1,0,0,2,0,0,1,1,1,0,1,0,4,0,0,0,1,1,0,2,0,0,0
월계2동,9,59.0,15.25,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0
상계8동,6,42.0,14.29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
구로3동,61,446.0,13.68,0,5,4,1,2,6,6,0,1,0,6,2,0,1,2,4,2,1,0,3,7,1,6,1,0,0
삼각산동,14,103.0,13.59,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,2,1,0,0,2,0,1,1,0,1,0
구로1동,9,67.0,13.43,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0
위례동,15,114.0,13.16,1,0,0,1,0,0,3,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,3,1,0,0
신내1동,18,137.0,13.14,1,1,2,3,0,2,2,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
신길5동,6,46.0,13.04,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
고덕2동,17,134.0,12.69,1,1,0,1,0,2,4,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0
쌍문4동,5,40.0,12.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
가양1동,83,673.0,12.33,3,5,0,1,2,12,7,2,2,0,4,3,0,1,3,7,2,3,0,4,9,1,7,4,0,1
돈암2동,5,41.0,12.2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
창4동,14,115.0,12.17,0,2,0,0,0,1,1,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,1,1,0,0
방화3동,8,68.0,11.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,1,0,0
정릉1동,9,77.0,11.69,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0
개봉2동,16,140.0,11.43,0,1,0,0,0,0,2,0,0,0,1,2,0,1,1,2,0,0,0,0,0,1,2,1,1,1
가양3동,4,36.0,11.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
염창동,25,227.0,11.01,0,0,0,1,1,3,5,0,0,1,1,0,0,0,0,3,0,1,1,3,2,0,2,0,1,0
상도4동,11,101.0,10.89,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,1,0
숭인1동,4,37.0,10.81,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
길음1동,15,139.0,10.79,0,0,0,1,0,0,3,1,0,0,3,0,0,0,1,2,0,0,0,2,0,1,1,0,0,0
신내2동,10,93.0,10.75,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0
등촌2동,10,93.0,10.75,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0
쌍문3동,10,93.0,10.75,0,1,0,1,0,1,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
응암3동,18,168.0,10.71,0,1,0,0,0,2,3,0,0,0,2,1,0,2,0,2,1,0,0,1,0,0,3,0,0,0
시흥2동,4,38.0,10.53,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
당산2동,34,329.0,10.33,0,0,2,1,2,2,7,0,0,0,1,0,0,2,0,3,1,0,2,3,1,1,4,0,2,0
화곡8동,14,137.0,10.22,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2,0,3,1
신정7동,12,118.0,10.17,0,1,1,0,0,1,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0
상계6·7동,22,220.0,10.0,0,2,3,0,0,1,3,0,0,0,3,0,0,1,2,4,0,0,0,0,0,1,1,0,1,0
아현동,23,232.0,9.91,0,2,0,1,0,5,3,0,0,0,1,0,1,2,0,2,0,1,0,1,2,1,0,1,0,0
하계1동,13,132.0,9.85,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,2,0,1,0
중계1동,10,103.0,9.71,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0
신정3동,13,134.0,9.7,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
홍제2동,6,62.0,9.68,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
중계4동,11,114.0,9.65,0,2,0,1,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
답십리1동,16,166.0,9.64,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,0,0
오류2동,13,136.0,9.56,1,0,0,0,0,1,3,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0
상계1동,18,190.0,9.47,0,2,0,0,0,1,5,0,0,0,1,0,0,1,1,2,1,0,0,2,0,1,1,0,0,0
창5동,17,181.0,9.39,0,1,0,0,1,2,3,0,0,0,1,0,0,2,1,2,0,0,1,0,0,1,2,0,0,0
신길6동,12,130.0,9.23,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,0,1
대방동,18,198.0,9.09,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,5,0,0,2,2,0,1,0,0,1,0
세곡동,13,145.0,8.97,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0
발산1동,39,435.0,8.97,1,2,0,1,1,2,8,0,0,0,4,1,0,0,0,2,0,2,0,2,3,1,7,1,0,1
성산2동,15,168.0,8.93,1,0,0,0,0,1,3,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,3,1,0,1
상계3·4동,10,112.0,8.93,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0
중계2·3동,15,170.0,8.82,0,0,2,0,0,0,3,0,0,0,1,0,1,2,0,2,1,0,0,2,0,0,1,0,0,0
수궁동,9,103.0,8.74,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0
장위3동,6,69.0,8.7,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
난곡동,7,81.0,8.64,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
상암동,41,479.0,8.56,1,1,1,1,2,3,6,1,0,0,2,2,0,2,1,3,1,1,0,2,7,1,2,1,0,0
휘경1동,12,141.0,8.51,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,2,1,0,0,0,0,0,2,0,1,0
가양2동,4,47.0,8.51,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
천연동,10,118.0,8.47,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
행당1동,19,225.0,8.44,0,0,0,2,0,2,3,2,1,0,1,1,0,0,0,1,1,0,0,3,0,0,2,0,0,0
신사1동,11,132.0,8.33,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0
도봉1동,13,156.0,8.33,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0
등촌3동,22,265.0,8.3,0,1,2,0,0,1,3,0,0,0,1,1,0,2,0,4,0,0,0,0,2,1,3,0,1,0
정릉2동,6,73.0,8.22,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
수서동,10,122.0,8.2,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
시흥1동,28,347.0,8.07,0,0,1,1,0,2,5,0,0,0,2,0,1,1,0,2,2,0,0,2,0,2,4,1,1,1
양평1동,19,236.0,8.05,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,3,0,0,0,2,5,0,1,0,0,0
녹번동,15,189.0,7.94,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,1,1,0
불광1동,15,189.0,7.94,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,3,0,1,0,3,0,0,2,0,0,0
문정2동,45,570.0,7.89,2,3,3,2,1,2,5,1,1,1,2,0,0,0,2,8,0,1,0,3,3,1,2,2,0,0
신월3동,7,89.0,7.87,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
개봉1동,14,180.0,7.78,1,0,0,0,0,0,4,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0
상봉1동,9,116.0,7.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0
양평2동,21,271.0,7.75,1,0,0,1,1,7,3,0,0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
방이2동,26,338.0,7.69,0,1,0,0,0,3,5,0,0,0,4,1,1,0,1,4,1,0,1,1,0,0,2,0,1,0
대림2동,9,117.0,7.69,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0
신길7동,7,91.0,7.69,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
증산동,6,78.0,7.69,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0
상도1동,19,247.0,7.69,0,0,0,0,0,4,2,0,0,1,1,0,0,2,0,3,1,0,0,2,0,0,3,0,0,0
사당5동,5,65.0,7.69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
인헌동,11,144.0,7.64,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0
남현동,11,145.0,7.59,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0
창2동,8,106.0,7.55,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0
번3동,4,53.0,7.55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
마천1동,6,80.0,7.5,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
방화1동,26,347.0,7.49,0,0,0,2,0,2,6,0,0,0,1,1,1,1,0,3,1,0,0,2,1,0,2,3,0,0
이문1동,19,255.0,7.45,0,1,1,1,0,2,3,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,2,0,1,0
문래동,31,418.0,7.42,1,1,0,0,1,3,6,0,0,0,1,0,0,1,1,5,2,0,0,2,3,0,3,1,0,0
자양2동,11,150.0,7.33,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
대치4동,45,614.0,7.33,0,1,1,3,1,5,6,0,3,2,3,0,0,1,1,7,1,1,0,1,0,1,5,1,1,0
대조동,21,287.0,7.32,1,1,5,0,0,0,3,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,3,0,1,0
방학1동,22,302.0,7.28,0,1,0,0,0,1,3,0,0,0,2,1,0,1,0,4,1,1,0,2,0,1,2,1,1,0
은천동,12,165.0,7.27,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,0,0,0
망우본동,23,317.0,7.26,1,1,1,1,0,1,7,0,0,0,1,0,0,1,0,6,0,0,0,1,0,1,1,0,0,0
진관동,19,263.0,7.22,1,1,0,2,0,0,3,0,0,0,3,0,0,2,0,2,0,0,0,2,0,1,2,0,0,0
월계1동,13,181.0,7.18,0,0,0,0,0,1,3,0,0,0,2,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0
종로5.6가동,1,14.0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
갈현1동,12,168.0,7.14,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,2,0,0,0
잠실4동,4,56.0,7.14,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공릉2동,21,296.0,7.09,0,2,0,1,0,2,3,0,0,0,1,0,0,1,0,6,0,0,0,2,0,0,3,0,0,0
길동,31,437.0,7.09,1,1,1,1,0,2,6,1,1,0,1,1,0,2,1,4,1,0,1,4,0,0,1,0,1,0
시흥5동,8,113.0,7.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0
신월6동,6,85.0,7.06,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
목5동,14,199.0,7.04,0,0,0,0,0,2,4,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0
등촌1동,16,229.0,6.99,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,2,0,0,0
월곡1동,10,143.0,6.99,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
묵1동,12,173.0,6.94,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0
면목3·8동,15,216.0,6.94,1,1,0,0,0,3,4,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0
고척1동,17,245.0,6.94,0,0,2,1,0,0,3,0,0,0,1,0,0,1,1,3,0,0,0,1,0,0,3,0,1,0
상봉2동,19,274.0,6.93,1,0,1,0,0,2,2,0,0,0,3,0,0,1,0,3,2,0,1,0,0,1,2,0,0,0
우장산동,13,188.0,6.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,5,0,0,0
거여2동,9,131.0,6.87,0,1,0,1,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
독산1동,22,321.0,6.85,1,0,2,2,0,2,3,0,0,0,2,0,1,2,1,1,0,1,0,1,0,1,1,1,0,0
군자동,18,264.0,6.82,0,1,0,2,0,1,2,1,0,0,2,0,0,1,1,2,0,0,0,1,0,0,3,1,0,0
응암1동,17,250.0,6.8,1,1,0,1,0,0,4,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,2,0,2,0
신월5동,7,103.0,6.8,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
장안2동,20,299.0,6.69,1,0,1,0,0,0,5,0,0,0,1,0,0,3,1,3,0,1,0,1,0,0,2,0,1,0
안암동,20,302.0,6.62,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,6,0,1,0,0,0,1,3,0,0,1
정릉3동,6,91.0,6.59,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
방이1동,12,183.0,6.56,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,1,1,0,0
일원2동,4,61.0,6.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
구의3동,16,244.0,6.56,0,1,1,1,1,0,2,0,0,0,3,0,0,1,0,3,0,0,0,1,0,1,0,0,1,0
석관동,14,214.0,6.54,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,3,0,0,0,1,0,1,1,0,2,0
홍은1동,6,92.0,6.52,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
상계9동,3,46.0,6.52,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
월곡2동,12,185.0,6.49,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,3,1,0,0,1,0,0,1,0,0,0
신월7동,7,108.0,6.48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0
쌍문2동,9,140.0,6.43,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
면목4동,7,109.0,6.42,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
도림동,7,109.0,6.42,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
성수1가1동,11,174.0,6.32,0,0,1,0,0,3,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
보라매동,13,207.0,6.28,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0
왕십리도선동,17,271.0,6.27,0,0,1,0,0,0,3,0,0,0,3,0,0,1,0,2,0,0,1,1,0,0,3,1,1,0
목2동,10,160.0,6.25,0,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
동화동,4,64.0,6.25,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
